timestamp,weight,forecast,cash,shares,equity,peak_equity,cumulative_pnl,drawdown
2017-02-06,1.8103488311935423,2.7243157766171014e-05,-81205.97882729245,790.6489195936333,99828.90429206178,100000.0,-171.09570793822058,0.0017109570793822058
2017-02-07,1.8679668715481468,2.558842986228108e-05,-86963.37925353769,815.770975131963,99815.54321267657,100000.0,-184.45678732343367,0.0018445678732343367
2017-02-08,1.8487722735991512,2.612252411020972e-05,-85049.28924994996,807.4132748133977,100042.12986827335,100042.14854204968,42.1298682733468,1.8665908920326282e-07
2017-02-09,1.8075123171042593,2.7328729780356764e-05,-80925.47380082298,789.5109721460026,101112.07104688082,101112.08881521504,1112.0710468808247,1.7572907876002307e-07
2017-02-10,1.8208431775693867,2.6930033325592738e-05,-82274.67663933308,795.3337330016163,101837.1292132111,101837.14736544479,1837.1292132110975,1.782476646587496e-07
2017-02-13,1.8076521782767232,2.7324501001868543e-05,-80932.63018748604,789.5604316116046,102782.5279080316,102782.54550544596,2782.527908031596,1.7121014348742836e-07
2017-02-14,1.7690763441028998,2.8529149638226758e-05,-76971.47218617273,772.5952746132148,103591.53766509931,103591.55456527646,3591.537665099313,1.6314242231171756e-07
2017-02-15,1.721854999947465,3.0115413125013466e-05,-72084.37904805584,751.7696470783076,104498.79335416782,104498.80918131444,4498.793354167821,1.5145767444355297e-07
2017-02-16,1.72755181127277,2.9917122164952516e-05,-72680.26740591566,754.3056865665103,104385.44945870698,104498.80918131444,4385.4494587069785,0.0010847943961808655
2017-02-17,1.6570771124151429,3.251595692744753e-05,-65330.700488654365,723.0066178304636,104604.77496621778,104604.78924088256,4604.774966217781,1.3646282239807765e-07
2017-02-21,1.7637845757877524,2.8700594750523936e-05,-76503.37559197313,770.2156780288553,105606.41932116941,105606.43603704775,5606.419321169407,1.5828465547680515e-07
2017-02-22,1.809949168515263,2.725519045273288e-05,-81383.27776182942,790.8482792281126,105486.26213698128,105606.43603704775,5486.262136981284,0.0011379410628373947
2017-02-23,1.8663238236906599,2.563350405674414e-05,-87335.66799241869,815.999487372732,105599.25080199007,105606.43603704775,5599.250801990071,6.803785192751258e-05
2017-02-24,1.860039820837901,2.5806998312917403e-05,-86672.72793339375,813.1968265910075,105867.88469855911,105867.90354405942,5867.884698559108,1.7800957303594813e-07
2017-02-27,1.8293397781796537,2.6680454364811755e-05,-83425.66870905788,799.488325277649,106125.01833101994,106125.03629266356,6125.018331019935,1.692498231250681e-07
2017-02-28,1.88972299789658,2.5002629215027126e-05,-89839.91435922857,826.584182780164,105647.24486828022,106125.03629266356,5647.2448682802205,0.004502155580571202
2017-03-01,1.8681242245709901,2.558411939174367e-05,-87560.23987835554,817.0661912894246,108323.86247432417,108323.88253873901,8323.862474324167,1.8522614194022124e-07
2017-03-02,1.6816184148148983,3.157381560428309e-05,-67376.31778086173,732.2863772454407,107127.52591672678,108323.88253873901,7127.5259167267795,0.011044255375395972
2017-03-03,1.773313121465595,2.8392989519198793e-05,-77208.64595425299,773.4851654145016,107213.42203552662,108323.88253873901,7213.422035526615,0.010251298948920792
2017-03-06,1.8329107322763356,2.6576595658477862e-05,-83604.36812317172,800.3562924470202,106711.71437277125,108323.88253873901,6711.714372771254,0.01488285065291312
2017-03-07,1.7750363720605553,2.8337887002471252e-05,-77434.3509406179,774.2977599708463,106074.21817247268,108323.88253873901,6074.218172472683,0.0207679443677787
2017-03-08,1.8906774213366073,2.497739268127386e-05,-89712.49821797087,826.1449804391738,105745.14270413325,108323.88253873901,5745.14270413325,0.023805829094830918
2017-03-09,1.8145903992546257,2.711594596598362e-05,-81674.28810690828,792.1719491171635,105935.79460250957,108323.88253873901,5935.794602509573,0.022045811876946004
2017-03-10,1.773421550640645,2.8389517660729402e-05,-77317.1735061879,773.8211341260313,106589.15723020471,108323.88253873901,6589.157230204713,0.016014246054316974
2017-03-13,1.6635918266492404,3.226178713529481e-05,-65621.59473274877,724.592127738017,106686.4132433517,108323.88253873901,6686.413243351693,0.015116419916002561
2017-03-14,1.7791471144771878,2.8207088174639288e-05,-77961.44316066688,776.6229338056579,106051.5947752457,108323.88253873901,6051.5947752457,0.020976793946438265
2017-03-15,1.7029784713068314,3.078673701176869e-05,-69891.28736661193,742.8076035976752,107550.59298080073,108323.88253873901,7550.592980800735,0.0071386802228190945
2017-03-16,1.684245648839529,3.147538921980298e-05,-67878.48139490509,734.3597602308151,107258.97782254203,108323.88253873901,7258.9778225420305,0.009830747303727282
2017-03-17,1.7504001080306857,2.9141192141422464e-05,-74980.8644442566,764.286524169387,106232.0818655244,108323.88253873901,6232.081865524393,0.019310613912555643
2017-03-20,1.7729046098396977,2.840607561819153e-05,-77373.84253471959,774.3849447088726,105954.04927565891,108323.88253873901,5954.049275658908,0.021877292500410487
2017-03-21,1.687154856891574,3.136693502738778e-05,-68296.91148214584,735.5180147412088,103637.77964375913,108323.88253873901,3637.7796437591314,0.04326010834502746
2017-03-22,1.5391598396515425,3.768899277192275e-05,-52973.54371679471,670.0414939937309,103983.67625123674,108323.88253873901,3983.6762512367422,0.040066938017570726
2017-03-23,1.5148072695980752,3.891053624265519e-05,-50443.67920824681,659.2170528535869,103773.55813632131,108323.88253873901,3773.558136321313,0.042006659065145675
2017-03-24,1.5588520027079042,3.6742796445855835e-05,-55018.69065704487,678.7598896586647,103729.67233632362,108323.88253873901,3729.6723363236233,0.042411794100644384
2017-03-27,1.5368073576617456,3.780446662994517e-05,-52734.180691365706,668.969955772724,103520.4767282483,108323.88253873901,3520.4767282482935,0.044342998957528246
2017-03-28,1.5722123924994844,3.612098185991955e-05,-56402.804164136716,684.5490856077276,104644.2137159373,108323.88253873901,4644.213715937294,0.033969137152056794
2017-03-29,1.6047754255107505,3.466996848499977e-05,-59813.571929219965,699.0147545908744,104846.3436622064,108323.88253873901,4846.343662206404,0.03210315947906466
2017-03-30,1.6970769436639757,3.100122898100911e-05,-69500.21087253856,739.9742901242255,105332.9226756801,108323.88253873901,5332.922675680107,0.02761126902914756
2017-03-31,1.7388270966759516,2.9530389733724172e-05,-73902.05026226715,758.633767546613,104892.7560731186,108323.88253873901,4892.756073118595,0.031674699846484626
2017-04-03,1.7290944139229403,2.9863765164640482e-05,-72882.14502481879,754.2963926987196,104656.59692467884,108323.88253873901,4656.5969246788445,0.033854820637071084
2017-04-04,1.6705260352828204,3.199451124991501e-05,-66758.38670387845,728.2707167651641,104763.93250865302,108323.88253873901,4763.932508653015,0.03286394418897308
2017-04-05,1.7286761559238764,2.9878218154816054e-05,-72856.19700392881,754.2207734792961,104204.67177807073,108323.88253873901,4204.671778070726,0.038026801330677595
2017-04-06,1.5097666104334364,3.917079126139972e-05,-50066.368762346145,657.303590588877,104643.17735455783,108323.88253873901,4643.177354557833,0.03397870439941881
2017-04-07,1.59381585034189,3.514841085377918e-05,-58869.8744049598,694.7028316411204,104503.39051208248,108323.88253873901,4503.390512082478,0.03526915706045007
2017-04-10,1.583859963118792,3.559167406608343e-05,-57830.448055765,690.2809523841623,104585.75723070453,108323.88253873901,4585.757230704534,0.034508782554924025
2017-04-11,1.6098477192088703,3.445183702150668e-05,-60550.98076603013,701.8452171563519,104403.70062222723,108323.88253873901,4403.700622227232,0.036189451713105225
2017-04-12,1.5433090764708992,3.748660902162954e-05,-53610.678343227635,672.1755460173429,103773.04174170987,108323.88253873901,3773.041741709865,0.04201142620051182
2017-04-13,1.3995457528350346,4.5583511319485356e-05,-38706.02879491541,608.0254024647477,102696.3588022863,108323.88253873901,2696.358802286297,0.05195090505032615
2017-04-17,1.5492040394161983,3.720186701256465e-05,-54089.92748289305,673.5468293158991,103903.9522697374,108323.88253873901,3903.952269737405,0.04080291589826408
2017-04-18,1.6543261274331793,3.262418865010416e-05,-65022.86597011205,720.2525524656961,103415.39594951565,108323.88253873901,3415.395949515645,0.04531306000288516
2017-04-19,1.6034071624558568,3.472916477461549e-05,-59762.052069972866,697.6999595303698,103143.9114807732,108323.88253873901,3143.9114807731967,0.04781928912226111
2017-04-20,1.6785791009696769,3.16882571723517e-05,-67522.92354776172,730.6516287692461,104399.4047016419,108323.88253873901,4399.404701641906,0.03622910982436051
2017-04-21,1.7302248701099838,2.9824754455564874e-05,-72919.82429129971,753.6355051220595,103875.52885528424,108323.88253873901,3875.5288552842394,0.041065308768488254
2017-04-24,1.592439543499983,3.520919294526411e-05,-58620.84051137435,693.2858522711913,105798.83221326137,108323.88253873901,5798.832213261368,0.023310190387374894
2017-04-25,1.7342403979006789,2.968679955662441e-05,-73637.40091067238,756.1835749042465,106727.50537548849,108323.88253873901,6727.505375488487,0.014737074833701824
2017-04-26,1.7876657145516779,2.7938903359516737e-05,-79344.75989382018,780.0971412943517,106661.60247640504,108323.88253873901,6661.602476405038,0.015345462361354189
2017-04-27,1.6508513415036261,3.276167089773888e-05,-64765.725937835065,718.93689755971,106772.68971360152,108323.88253873901,6772.689713601518,0.014319952246751784
2017-04-28,1.7285699687869334,2.9881889142916097e-05,-73071.81270389658,753.7858261498646,106419.66821890921,108323.88253873901,6419.66821890921,0.017578896501875392
2017-05-01,1.7818930594714495,2.8120219401048665e-05,-78751.8205652884,777.5658438301773,106798.7167479068,108323.88253873901,6798.716747906801,0.01407968173857483
2017-05-02,1.817318950420131,2.7034582479242223e-05,-82538.85619054707,793.412047938782,106896.20437531652,108323.88253873901,6896.20437531652,0.013179717435921121
2017-05-03,1.8403670628704767,2.6361679349326804e-05,-85004.96164634985,803.7413944881591,106703.43576696586,108323.88253873901,6703.435766965864,0.01495927521978949
2017-05-04,1.842886279910333,2.6289656022747686e-05,-85274.04641077049,804.867343694808,106879.983222928,108323.88253873901,6879.983222928,0.013329464213901672
2017-05-05,1.7677929366382792,2.857058867083313e-05,-77255.67560920358,771.381131791142,107628.95405849736,108323.88253873901,7628.954058497358,0.006415284090220175
2017-05-08,1.869464211358812,2.5547456378498338e-05,-88208.81232448008,817.0387983992493,107610.87648786801,108323.88253873901,7610.876487868009,0.006582168531634882
2017-05-09,1.86523057622158,2.5663561440988276e-05,-87753.6803856613,815.1360871235754,107422.50431520761,108323.88253873901,7422.5043152076105,0.008321140291560787
2017-05-10,1.8874079504347845,2.5064002032456075e-05,-90138.30402540047,825.0683354230748,107762.58690917825,108323.88253873901,7762.5869091782515,0.005181642463378531
2017-05-11,1.905167470883521,2.459889858089939e-05,-92053.94808239184,833.0605606782426,107430.06732917161,108323.88253873901,7430.067329171608,0.008251321764134085
2017-05-12,1.8674113675288644,2.560365584846976e-05,-88001.6629147957,816.0928103102112,107085.32338986029,108323.88253873901,7085.323389860292,0.011433851149452492
2017-05-15,1.9267491153615917,2.4050917069180193e-05,-94361.89388332306,842.5433362688816,108042.03902554949,108323.88253873901,8042.039025549486,0.0026018594107234893
2017-05-16,1.9395346406800609,2.3734872115054395e-05,-95744.59819574878,848.2969046200008,107923.0056344672,108323.88253873901,7923.005634467205,0.0037007250375137037
2017-05-17,1.8518946486423526,2.6034510942818205e-05,-86295.18725395943,808.2070329360793,104384.4514610234,108323.88253873901,4384.451461023404,0.03636715178028058
2017-05-18,1.5764104280926514,3.592885516842637e-05,-57566.107707289484,686.7495686336289,105028.72016240848,108323.88253873901,5028.720162408485,0.03041953721656997
2017-05-19,1.4445232184014374,4.2789077515011445e-05,-43727.26432371201,628.6140717617633,106052.61055496335,108323.88253873901,6052.61055496335,0.020967416700222157
2017-05-22,1.7060112376825702,3.067737549290281e-05,-71484.97631314716,744.3934934117747,106812.15322884113,108323.88253873901,6812.153228841125,0.013955641862792877
2017-05-23,1.7633233867577762,2.8715609727937047e-05,-77612.41548388405,769.8971139962645,107185.98878863931,108323.88253873901,7185.988788639312,0.010504551013418137
2017-05-24,1.8056659907234254,2.7384646602176936e-05,-82155.2597182646,788.7636498872848,107589.72389862064,108323.88253873901,7589.723898620636,0.00677744023674394
2017-05-25,1.871676545879533,2.548709753438387e-05,-89264.05196251569,818.1425586472761,108513.73016487685,108513.7535612412,8513.730164876848,2.1560736392544096e-07
2017-05-26,1.8787005933604584,2.529687252368063e-05,-90027.00143614711,821.2956864882988,108504.80485866935,108513.7535612412,8504.804858669348,8.246606792386986e-05
2017-05-30,1.968061427343866,2.305179125720862e-05,-99732.27011923974,861.4400985835979,108331.35689165666,108513.7535612412,8331.356891656658,0.0016808622280456522
2017-05-31,1.9887359621408416,2.2574998134332992e-05,-101974.1142043497,870.717293545325,108234.45480336266,108513.7535612412,8234.454803362663,0.0025738558358956182
2017-06-01,1.816522936728012,2.705828117576581e-05,-83352.36770631603,794.1065951663885,109853.7668976663,109853.78909837264,9853.766897666297,2.0209322340477804e-07
2017-06-02,1.9154180474724432,2.4336315504734553e-05,-94226.6597268207,838.6056548986636,110510.52486013902,110510.54995718738,10510.52486013902,2.2710092720492675e-07
2017-06-05,1.9230682247448148,2.4143075547031995e-05,-95072.90887987167,842.0709379483947,110367.13785139816,110510.54995718738,10367.137851398162,0.0012977232114470324
2017-06-06,1.9893709709662164,2.2560588519098893e-05,-102397.4955505929,872.1537512357274,109753.90443749781,110510.54995718738,9753.904437497811,0.0068468170684400686
2017-06-07,1.9426586769139023,2.3658596255277475e-05,-97275.50988815838,851.1135185864063,110114.64029497636,110510.54995718738,10114.640294976358,0.003582550827630495
2017-06-08,1.9437026433446416,2.363318892510559e-05,-97390.60075926938,851.5851715958876,110166.2531137963,110510.54995718738,10166.253113796294,0.0031155110849097178
2017-06-09,1.8855358742579003,2.5113796910539218e-05,-90988.66585161547,825.2711359733794,109982.02139753067,110510.54995718738,9982.021397530669,0.004782607270178891
2017-06-12,1.683005235228686,3.152180249052664e-05,-68735.0047026313,733.7374229042748,109819.99716112396,110510.54995718738,9819.99716112396,0.006248749973020188
2017-06-13,1.764860236163682,2.866562010060207e-05,-77732.83644541657,770.5065490917137,110640.60467652559,110640.62554541386,10640.604676525589,1.8861867571217608e-07
2017-06-14,1.6983862055203003,3.095345058780845e-05,-70385.07868761012,740.3963102246473,110464.12404786223,110640.62554541386,10464.124047862235,0.0015952684349129689
2017-06-15,1.7200297030676264,3.0179364039802206e-05,-72778.18771296044,750.2040508827251,110098.8287095062,110640.62554541386,10098.828709506197,0.0048969068390279005
2017-06-16,1.709806691112232,3.054133050127938e-05,-71653.72917246721,745.56532007918,109250.240091545,110640.62554541386,9250.240091544998,0.012566681063260615
2017-06-19,1.8059920039361566,2.7374760677111333e-05,-82171.95024048224,788.5175723550602,110738.87383618324,110738.89607115342,10738.873836183237,2.007873562832466e-07
2017-06-20,1.9057595750558392,2.458361559552868e-05,-93230.56434039875,833.9721302206542,109474.0344533293,110738.89607115342,9474.034453329296,0.01142201758098984
2017-06-21,1.9086098075402722,2.451024627665672e-05,-93542.91066877033,835.2565068124086,109374.30509623622,110738.89607115342,9374.305096236218,0.012322598683306395
2017-06-22,1.8504801317041093,2.607432799480421e-05,-87191.04901560627,809.0740215344372,109276.3956336011,110738.89607115342,9276.395633601103,0.013206745682317512
2017-06-23,1.9565227084652133,2.332449187950718e-05,-98789.97640870702,856.7296827128913,109532.41323975961,110738.89607115342,9532.413239759611,0.01089484250067474
2017-06-26,1.9314440058653446,2.393413482226923e-05,-96045.66712507774,845.4375228153091,109615.46467497433,110738.89607115342,9615.464674974326,0.010144867215014031
2017-06-27,1.8864024108529474,2.5090729694717476e-05,-91113.10192549377,824.9823901683939,108012.89758945146,110738.89607115342,8012.897589451459,0.02461644985110212
2017-06-28,1.7998896585090582,2.7560698107663637e-05,-81777.46154055772,786.60192005256,109736.50793463907,110738.89607115342,9736.50793463907,0.009051816227879664
2017-06-29,1.810182076420645,2.7248177300828533e-05,-82908.00548439188,791.2808794121916,108099.28599691702,110738.89607115342,8099.285996917024,0.023836340869249368
2017-06-30,1.6097816357751535,3.44546656566062e-05,-61265.34925155426,701.6860055661053,108395.31003427436,110738.89607115342,8395.310034274356,0.021163169582015955
2017-07-03,1.757620236675511,2.8902265672379457e-05,-77305.52511260708,767.8176124480284,108752.03873579914,110738.89607115342,8752.038735799142,0.017941819955272557
2017-07-05,1.8358607911347968,2.6491252010397082e-05,-85822.4092523672,802.870837335837,109066.45780253389,110738.89607115342,9066.457802533885,0.01510253694009135
2017-07-06,1.7703384068813248,2.8488487645415604e-05,-78682.88960097647,773.1663965789049,107325.48208797649,110738.89607115342,7325.482087976488,0.030823984203198995
2017-07-07,1.7582432092464602,2.8881788267573296e-05,-77386.0145961469,767.8044679663019,108499.44709849478,110738.89607115342,8499.447098494784,0.020222785779079034
2017-07-10,1.885456413233745,2.5115913756157842e-05,-91201.6451855207,824.7574792980471,108678.32992236101,110738.89607115342,8678.329922361008,0.018607429023569332
2017-07-11,1.9537191208405347,2.3391481217987804e-05,-98627.35989543631,855.3903848174308,108531.08349964909,110738.89607115342,8531.083499649088,0.0199371011436283
2017-07-12,1.8437859550752762,2.6264006212343978e-05,-86707.49299195656,806.4801380639257,110025.27188735746,110738.89607115342,10025.271887357463,0.006444205325447944
2017-07-13,1.9279081468066666,2.402200761107066e-05,-95971.83279419609,844.3476080623163,110403.60956839527,110738.89607115342,10403.609568395274,0.0030277211951138666
2017-07-14,2.0102822151307764,2.2093672717937406e-05,-105074.85012993365,881.3904758795757,111315.32560326095,111315.35425840162,11315.32560326095,2.5742307398794743e-07
2017-07-17,2.017935087001387,2.1926413190446372e-05,-105927.56630703255,884.8601806860153,111323.30525499793,111323.33447960153,11323.305254997933,2.625200164329729e-07
2017-07-18,2.0280373727579333,2.1708512675172073e-05,-107053.27844901051,889.4379525522618,111454.67652311787,111454.70605829683,11454.676523117872,2.6499714546119586e-07
2017-07-19,2.0047499321623103,2.221577981706094e-05,-104460.2662949906,878.928177047579,112599.83630867953,112599.86557131617,12599.836308679529,2.598816303571561e-07
2017-07-20,2.0997669964350436,2.0250687258968828e-05,-115169.3153953333,922.2365719781208,112660.00734614166,112660.04009678327,12660.007346141661,2.9070326602800536e-07
